country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","06-03-2025 18:00:00",12.9756843,77.5660749,PM10,91,108,99
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","06-03-2025 18:00:00",12.9756843,77.5660749,CO,48,101,60
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","06-03-2025 18:00:00",13.029152,77.585901,PM2.5,66,128,86
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","06-03-2025 18:00:00",13.029152,77.585901,OZONE,6,54,38
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","06-03-2025 18:00:00",28.4227,77.0667,PM2.5,61,88,73
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","06-03-2025 18:00:00",28.4227,77.0667,SO2,1,12,6
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","06-03-2025 18:00:00",28.3153,76.9143,PM2.5,16,122,45
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","06-03-2025 18:00:00",28.3153,76.9143,OZONE,19,89,64
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","06-03-2025 18:00:00",34.066206,74.819820,PM2.5,35,60,44
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","06-03-2025 18:00:00",23.80569,86.44268,NO2,121,134,124
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","06-03-2025 18:00:00",23.80569,86.44268,CO,1,2,2
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","06-03-2025 18:00:00",15.888653,74.541751,PM2.5,22,50,36
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","06-03-2025 18:00:00",15.888653,74.541751,PM10,29,65,46
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","06-03-2025 18:00:00",15.888653,74.541751,CO,16,26,22
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","06-03-2025 18:00:00",15.888653,74.541751,OZONE,19,20,20
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","06-03-2025 18:00:00",23.107969,72.574648,CO,28,107,41
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","06-03-2025 18:00:00",23.020509,72.579261,PM10,60,172,114
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","06-03-2025 18:00:00",28.672342,77.315260,NH3,3,4,4
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","06-03-2025 18:00:00",13.0270199,77.494094,CO,NA,NA,NA
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","06-03-2025 18:00:00",12.921418,77.502466,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","06-03-2025 18:00:00",12.921418,77.502466,SO2,5,6,6
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","06-03-2025 18:00:00",12.990328,77.5431385,PM10,36,43,38
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","06-03-2025 18:00:00",13.0246342,77.5080115,PM10,NA,NA,NA
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","06-03-2025 18:00:00",13.0246342,77.5080115,OZONE,30,31,31
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","06-03-2025 18:00:00",12.917348,77.622813,PM10,96,170,128
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","06-03-2025 18:00:00",12.917348,77.622813,NH3,1,15,3
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","06-03-2025 18:00:00",17.930306,77.482194,SO2,23,26,25
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","06-03-2025 18:00:00",14.816666,74.141003,CO,9,10,10
